property,bin_midpoint,bin_left,bin_right,molecule_count,b,n,o,s
aip,12.626000000000001,12.582,12.67,13208,0.1612338887144191,0.2729455854778112,0.33514917602501787,0.23067134978275175
aip,12.713999999999999,12.67,12.758,7686,0.15572079020498772,0.2721048620005857,0.35599925690403933,0.21617509089038725
aip,12.802,12.758,12.846,4211,0.1506593512894841,0.2588993539422747,0.37581293033462587,0.21462836443361527
aea,-8.4955,-8.549,-8.442,3071,0.40542091952594755,0.2933147682686729,0.16297362459662165,0.1382906876087579
aea,-8.389,-8.442,-8.336,5576,0.3997437991953562,0.29484735674476176,0.1654510942474151,0.13995774981246706
aea,-8.283000000000001,-8.336,-8.23,8910,0.38606504166192446,0.2844394278942943,0.17098439656608166,0.15851113387769958
aea,-8.177,-8.23,-8.124,13493,0.3734790460997113,0.2808017742843297,0.1801050620962363,0.16561411751972271
aea,-8.071000000000002,-8.124,-8.018,19119,0.3573461346583558,0.27666094450445033,0.18946510856568646,0.17652781227150738
aea,-7.965,-8.018,-7.912,25257,0.3353312115764951,0.27800152066718076,0.19727161630930334,0.18939565144702072
aea,-7.859,-7.912,-7.806,30995,0.31583397223885484,0.27796946090259367,0.2019644011312199,0.20423216572733155
aea,-7.753,-7.806,-7.7,36575,0.29508675567663917,0.27363744695346964,0.21729509112645515,0.213980706243436
aea,-7.647,-7.7,-7.594,41963,0.27844848580853465,0.2660542870797912,0.22808614864797463,0.2274110784636996
aea,-7.541,-7.594,-7.488,43981,0.26021657817126065,0.26019888777191524,0.24200758544932335,0.23757694860750064
aea,-7.4345,-7.488,-7.381,43685,0.24306401296530034,0.25735757651270036,0.24851759397234147,0.25106081654965784
aea,-7.328,-7.381,-7.275,41879,0.22539680416672495,0.2559244902820392,0.2550763358844736,0.26360236966676237
aea,-7.2219999999999995,-7.275,-7.169,38808,0.207684127794885,0.25296357993747876,0.2689665843974916,0.2703857078701446
aea,-7.116,-7.169,-7.063,34857,0.1899116382446527,0.2471490943247844,0.27873038222203983,0.284208885208523
aea,-7.01,-7.063,-6.957,31464,0.1812690478440889,0.23043496905259334,0.2901358594124062,0.29816012369091155
aea,-6.904,-6.957,-6.851,26621,0.17489404408566223,0.21126530975880914,0.30738410009503553,0.3064565460604932
