property,bin_midpoint,bin_left,bin_right,molecule_count,cyclobutadiene,borinine,14diborinine,dhdiborinine,borole,pyridine,pyrazine,pyrrole,furan,thiophene
lumo,-8.575,-8.621,-8.529,24295,0.12105607230104025,0.1338784966338269,0.14010620362193346,0.007328738057827069,0.021148971797547912,0.11629640673922767,0.06388274019107476,0.1363443474670551,0.12771960408757785,0.13223841910288905
lumo,-8.4825,-8.529,-8.436,21576,0.10857610086117082,0.1446977989370541,0.1496037031664183,0.004760837168818494,0.013148350851279886,0.10856291294657576,0.04400807100373218,0.14941907236208737,0.13573001701240983,0.14149313569045327
lumo,-8.39,-8.436,-8.344,17900,0.09190013646945493,0.15499719033475154,0.1571325359235771,0.0029220518583928713,0.00805972545556715,0.09355382515854539,0.028481978004334912,0.16917395841695432,0.14578148831982018,0.14799711005860158
lumo,-8.2975,-8.344,-8.251,14360,0.07554432578613869,0.15685268165577687,0.17045342387334925,0.001381788033715628,0.0048559979470577785,0.0764326180935273,0.016166919994472846,0.18847588779881166,0.15195720405061292,0.15787915276653705
lumo,-8.205,-8.251,-8.159,10424,0.06332481907194551,0.16009472115793955,0.17385057471264367,0.0007183908045977011,0.0028735632183908046,0.05826947637292465,0.009099616858237548,0.21722009365687528,0.15456045125585355,0.15998829289059174
lumo,-8.1125,-8.159,-8.066,6944,0.051627384960718295,0.15759123805100816,0.16862107666705367,0.0005031154456441813,0.0016254499013119703,0.04500948179109099,0.005108556832694764,0.2598010758930299,0.15047021943573669,0.15964240102171137
lumo,-8.02,-8.066,-7.974,4197,0.04100355738625726,0.14229545029020782,0.1712538226299694,0.0005616925669350309,0.0017474879860200961,0.03544904200212195,0.0024964114086001373,0.2948885976408912,0.14566560569181802,0.16463833239717907
gap,0.2595,0.207,0.312,7742,0.08023468454739409,0.0906227776084527,0.2104287310779234,0.13809306105862035,0.12460631921162248,0.07337701920146297,0.08440008127603373,0.06728131667174642,0.06215076704256832,0.06880524230417556
gap,0.364,0.312,0.416,10703,0.09264269342050878,0.09275542028332018,0.18628114079585165,0.12041107729305227,0.13906737308834027,0.07439972945552925,0.08649907939728704,0.07250216059820389,0.0635779506256341,0.07186337504227257
gap,0.4675,0.416,0.519,14782,0.10066131904847372,0.09476605320926122,0.17024478469163756,0.11290745675194323,0.13955350609545636,0.07833662382129199,0.09288840413635045,0.0733249575458022,0.06440612444947605,0.07291077025030719
gap,0.571,0.519,0.623,18985,0.10878483056579895,0.09256147853978922,0.1615789129154029,0.11263610377708438,0.13335442623666238,0.07847651050644788,0.09547448122367932,0.07434157411246155,0.06744637674834712,0.0753453053743263
gap,0.675,0.623,0.727,22892,0.11629594921124924,0.09340058616539419,0.14447415084111978,0.11164705125731558,0.13037126870813925,0.07868213849305881,0.09828836029877898,0.07865457585696829,0.07159854101779628,0.07658737815017962
gap,0.7789999999999999,0.727,0.831,28192,0.12428279313922969,0.09659403039736313,0.12792986632484893,0.10747421107245315,0.12481688335469694,0.0828526521394128,0.09948574742110725,0.08079258987975341,0.07531435024110358,0.08045687603003113
